DEBUG: SQLALCHEMY_DATABASE_URI = sqlite:////home/sak/Desktop/booking-project/Backend/booking.db
 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.148.167.146:5000
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 308-899-129
127.0.0.1 - - [10/Mar/2026 12:25:18] "GET /api/hotels HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:31] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:31] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:31] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:31] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:32] "GET /static/uploads/hotel_monotel.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:32] "GET /static/uploads/hotel_semiramis.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:32] "GET /static/uploads/hotel_azalai.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:32] "GET /static/uploads/hotel_tfeila.png HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "OPTIONS /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "OPTIONS /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "OPTIONS /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "GET /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "GET /api/notifications/settings HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2026 12:25:39] "GET /api/hotels?limit=5&offset=0&search=&guests=0 HTTP/1.1" 200 -
